batch_id,timestamp,machine_id,temperature_C,pressure_bar,raw_material_kg,batch_size_kg,reaction_rate_constant,reaction_time_min,machine_runtime_min,downtime_min,cycle_time_min,conversion_percent,production_kg,defective_kg,good_production_kg,yield_percent,energy_kWh,energy_cost,total_cost,cost_per_good_kg,throughput_kg_hr,maintenance_event
30,2025-01-03 10:00:00,M04,75.06,4.083,869.59,864.19,0.004655,108.85,120.54,9.67,130.21,55.0,475.3,10.41,464.89,53.46,664.48,86.38,2177.65,4.684,214.21,No
31,2025-01-03 12:00:00,M04,61.78,4.23,905.4,899.65,0.002901,171.0,190.58,42.92,233.49,55.0,494.81,6.69,488.11,53.91,859.8,111.77,2313.23,4.739,125.43,No
32,2025-01-03 14:00:00,M05,79.08,3.918,1030.59,1015.06,0.00531,70.02,85.72,51.13,136.85,55.0,558.28,12.7,545.58,52.94,490.93,63.82,2525.36,4.629,239.2,Yes
33,2025-01-03 16:00:00,M02,70.08,4.08,1064.38,1040.11,0.003907,141.88,160.57,14.85,175.42,55.0,572.06,16.19,555.87,52.23,798.08,103.75,2602.16,4.681,190.13,No
34,2025-01-03 18:00:00,M02,74.93,4.039,928.04,917.59,0.004626,135.68,149.77,4.47,154.24,55.0,504.67,10.08,494.6,53.29,817.26,106.24,2425.22,4.903,192.4,No
35,2025-01-03 20:00:00,M03,75.41,4.199,947.9,923.58,0.004731,115.8,138.79,7.23,146.02,55.0,507.97,8.11,499.86,52.73,716.91,93.2,2444.14,4.89,205.4,No
36,2025-01-03 22:00:00,M01,79.54,4.193,898.18,885.08,0.005447,86.5,107.36,7.72,115.07,55.0,486.79,11.81,474.99,52.88,579.37,75.32,2186.68,4.604,247.67,No
37,2025-01-04 00:00:00,M01,71.42,4.562,1149.24,1129.91,0.004167,120.72,137.28,2.45,139.73,55.0,621.45,6.1,615.35,53.54,701.59,91.21,2944.19,4.785,264.23,No
38,2025-01-04 02:00:00,M03,60.32,4.302,957.25,973.11,0.002752,196.98,216.19,5.74,221.93,55.0,535.21,10.58,524.63,54.81,945.01,122.85,2423.32,4.619,141.83,No
39,2025-01-04 04:00:00,M02,72.31,4.517,1002.82,973.01,0.004294,145.61,170.15,0.06,170.21,55.0,535.15,8.56,526.59,52.51,852.4,110.81,2535.34,4.815,185.62,No
40,2025-01-04 06:00:00,M04,73.1,4.196,1007.53,960.17,0.004365,126.72,149.42,21.81,171.23,55.0,528.09,10.98,517.11,51.32,739.29,96.11,2597.85,5.024,181.2,No
41,2025-01-04 08:00:00,M03,66.31,4.304,1099.51,1074.6,0.003438,178.9,202.93,9.12,212.05,55.0,591.03,8.14,582.89,53.01,952.64,123.84,2841.38,4.875,164.93,No
42,2025-01-04 10:00:00,M05,72.81,4.091,914.28,881.74,0.004305,130.27,150.7,22.0,172.7,55.0,484.96,9.17,475.78,52.04,762.36,99.11,2256.14,4.742,165.3,No
43,2025-01-04 12:00:00,M04,70.01,4.651,1105.14,1078.93,0.003976,147.1,162.93,11.23,174.16,55.0,593.41,5.28,588.13,53.22,830.43,107.96,2841.88,4.832,202.61,No
44,2025-01-04 14:00:00,M02,64.61,4.345,884.92,857.86,0.003235,153.29,173.64,2.62,176.27,55.0,471.82,7.47,464.35,52.47,796.06,103.49,2304.58,4.963,158.06,No
45,2025-01-04 16:00:00,M05,75.69,4.129,1104.91,1076.35,0.004766,108.1,132.89,3.9,136.79,55.0,591.99,11.22,580.77,52.56,665.04,86.46,2934.64,5.053,254.73,No
46,2025-01-04 18:00:00,M04,68.9,4.115,845.62,822.13,0.00375,125.87,146.3,14.13,160.43,55.0,452.17,10.92,441.25,52.18,707.04,91.92,2244.3,5.086,165.03,No
47,2025-01-04 20:00:00,M02,69.76,4.151,990.59,987.18,0.003873,158.14,172.83,12.9,185.74,55.0,542.95,15.97,526.98,53.2,881.11,114.54,2695.18,5.114,170.24,No
48,2025-01-04 22:00:00,M02,69.46,4.214,1146.29,1128.43,0.003839,141.96,160.23,7.29,167.52,55.0,620.64,9.68,610.95,53.3,803.44,104.45,2808.97,4.598,218.82,No
49,2025-01-05 00:00:00,M04,78.8,4.175,1062.75,1060.53,0.005308,65.0,86.04,7.63,93.67,55.0,583.29,13.05,570.24,53.66,434.86,56.53,2483.61,4.355,365.27,No
50,2025-01-05 02:00:00,M01,71.77,3.949,1037.91,1022.85,0.00413,146.09,164.78,21.75,186.53,55.0,562.57,10.84,551.73,53.16,837.29,108.85,2780.51,5.04,177.47,No
51,2025-01-05 04:00:00,M01,72.44,4.544,905.64,902.15,0.004316,148.43,169.48,1.53,171.01,55.0,496.18,8.43,487.75,53.86,860.23,111.83,2386.5,4.893,171.13,No
52,2025-01-05 06:00:00,M01,69.58,4.573,933.87,916.47,0.003904,129.52,145.04,15.06,160.1,55.0,504.06,10.16,493.9,52.89,731.06,95.04,2540.69,5.144,185.09,No
53,2025-01-05 08:00:00,M04,74.55,5.003,1121.0,1125.63,0.00472,127.81,144.95,11.51,156.46,55.0,619.1,12.36,606.74,54.12,782.73,101.75,2934.41,4.836,232.68,No
54,2025-01-05 10:00:00,M04,79.42,3.928,1042.51,1032.76,0.005375,102.55,121.91,27.12,149.04,55.0,568.02,17.77,550.25,52.78,669.93,87.09,2736.58,4.973,221.53,No
55,2025-01-05 12:00:00,M04,75.56,4.5,1080.12,1053.81,0.004806,84.66,104.22,54.68,158.9,55.0,579.6,13.54,566.05,52.41,544.29,70.76,2753.76,4.865,213.74,No
56,2025-01-05 14:00:00,M04,75.78,3.341,1006.64,999.02,0.004647,153.77,169.24,4.0,173.25,55.0,549.46,7.64,541.82,53.82,920.19,119.63,2527.33,4.665,187.65,No
57,2025-01-05 16:00:00,M03,75.33,4.573,974.64,960.34,0.00478,115.39,123.59,17.14,140.74,55.0,528.19,10.98,517.21,53.07,709.93,92.29,2403.21,4.647,220.5,No
58,2025-01-05 18:00:00,M03,64.41,3.545,1069.0,1050.37,0.003121,186.54,193.02,16.52,209.53,55.0,577.7,9.06,568.64,53.19,950.69,123.59,2593.48,4.561,162.83,No
59,2025-01-05 20:00:00,M01,67.18,3.757,1023.34,1009.17,0.00348,149.34,167.15,5.45,172.6,55.0,555.04,9.53,545.51,53.31,806.25,104.81,2579.3,4.728,189.63,No
60,2025-01-05 22:00:00,M01,70.87,4.35,984.7,978.81,0.004057,134.25,152.99,7.52,160.51,55.0,538.35,12.46,525.89,53.41,762.3,99.1,2526.24,4.804,196.59,No
61,2025-01-06 00:00:00,M04,68.01,3.92,872.74,837.47,0.003607,160.59,177.76,12.26,190.02,55.0,460.61,8.51,452.1,51.8,876.94,114.0,2294.91,5.076,142.75,No
62,2025-01-06 02:00:00,M03,66.15,3.859,1085.85,1064.99,0.003364,145.13,163.27,16.0,179.26,55.0,585.75,12.89,572.86,52.76,776.85,100.99,2770.95,4.837,191.74,No
63,2025-01-06 04:00:00,M03,61.7,3.982,1039.6,1032.52,0.002867,240.0,264.4,11.22,275.62,55.0,567.89,10.51,557.38,53.61,1175.12,152.76,2598.45,4.662,121.34,No
64,2025-01-06 06:00:00,M04,64.59,4.528,945.44,934.07,0.003253,193.76,209.77,38.09,247.86,55.0,513.74,12.13,501.61,53.06,991.71,128.92,2539.67,5.063,121.43,No
65,2025-01-06 08:00:00,M04,70.59,3.78,1106.13,1074.59,0.003937,153.96,173.42,6.19,179.61,55.0,591.02,9.43,581.59,52.58,871.34,113.27,2956.55,5.084,194.29,No
66,2025-01-06 10:00:00,M03,71.62,4.176,1021.94,977.58,0.00414,134.36,159.1,9.93,169.02,55.0,537.67,12.06,525.6,51.43,778.08,101.15,2552.64,4.857,186.58,No
67,2025-01-06 12:00:00,M03,67.64,4.03,1023.71,1029.25,0.003573,142.59,156.45,13.17,169.61,55.0,566.08,8.1,557.98,54.51,778.99,101.27,2497.37,4.476,197.39,No
68,2025-01-06 14:00:00,M02,72.43,4.569,1079.55,1060.93,0.00432,149.28,174.37,10.05,184.42,55.0,583.51,9.34,574.18,53.19,875.07,113.76,2628.97,4.579,186.8,No
69,2025-01-06 16:00:00,M01,69.61,4.582,1060.18,1063.54,0.00391,156.8,178.69,4.25,182.93,55.0,584.95,11.02,573.93,54.14,873.64,113.57,2669.61,4.651,188.24,No
70,2025-01-06 18:00:00,M03,78.0,3.374,1026.43,1020.83,0.005021,106.91,123.67,23.68,147.35,55.0,561.45,13.55,547.9,53.38,676.56,87.95,2572.35,4.695,223.1,No
71,2025-01-06 20:00:00,M01,71.11,4.67,983.03,958.92,0.004137,117.23,125.1,14.16,139.26,55.0,527.41,10.84,516.57,52.55,684.03,88.92,2511.01,4.861,222.57,No
72,2025-01-06 22:00:00,M02,75.83,3.925,1178.53,1125.48,0.004754,94.21,117.77,1.76,119.53,55.0,619.01,12.54,606.47,51.46,604.06,78.53,2988.51,4.928,304.42,No
73,2025-01-07 00:00:00,M05,73.12,4.306,933.96,914.77,0.004385,129.81,154.89,6.98,161.87,55.0,503.12,7.03,496.1,53.12,761.24,98.96,2331.19,4.699,183.88,No
74,2025-01-07 02:00:00,M02,64.29,3.777,1067.14,1050.65,0.003133,174.95,190.17,6.02,196.19,55.0,577.86,10.09,567.77,53.21,898.66,116.83,2704.51,4.763,173.63,No
75,2025-01-07 04:00:00,M01,71.5,4.367,992.45,982.93,0.004151,158.19,183.53,35.72,219.24,55.0,540.61,12.56,528.05,53.21,909.89,118.29,2471.48,4.68,144.51,No
76,2025-01-07 06:00:00,M02,65.2,5.348,1040.92,1011.43,0.003421,187.64,198.88,10.76,209.64,55.0,556.29,12.69,543.6,52.22,980.19,127.42,2761.28,5.08,155.58,No
77,2025-01-07 08:00:00,M02,71.41,4.257,1111.01,1096.72,0.004121,138.3,157.47,36.09,193.56,55.0,603.19,10.86,592.33,53.31,807.49,104.97,2800.43,4.728,183.61,No
78,2025-01-07 10:00:00,M04,67.9,3.993,971.96,959.45,0.003602,155.69,172.98,20.73,193.71,55.0,527.7,9.03,518.67,53.36,850.92,110.62,2505.96,4.832,160.65,No
79,2025-01-07 12:00:00,M03,74.1,4.096,1054.17,1050.83,0.004504,106.54,119.19,14.28,133.48,55.0,577.95,11.09,566.86,53.77,646.28,84.02,2757.46,4.864,254.82,No
80,2025-01-07 14:00:00,M04,64.62,3.539,1023.9,1004.77,0.003145,205.82,222.82,8.03,230.84,55.0,552.62,12.13,540.49,52.79,1049.57,136.44,2705.41,5.005,140.48,No
81,2025-01-07 16:00:00,M04,72.08,4.852,942.28,933.16,0.004308,130.62,148.49,11.56,160.06,55.0,513.24,14.42,498.81,52.94,764.69,99.41,2562.02,5.136,186.99,No
82,2025-01-07 18:00:00,M02,75.15,4.341,1113.23,1100.38,0.004711,130.06,143.3,3.52,146.82,55.0,605.21,8.51,596.7,53.6,783.8,101.89,2868.29,4.807,243.86,No
83,2025-01-07 20:00:00,M05,76.99,3.728,1064.01,1059.23,0.004913,133.51,154.21,24.97,179.19,55.0,582.57,12.35,570.22,53.59,820.43,106.66,2687.48,4.713,190.94,No
84,2025-01-07 22:00:00,M01,67.8,3.743,960.89,937.02,0.003557,147.38,162.65,23.95,186.6,55.0,515.36,8.66,506.71,52.73,805.3,104.69,2402.28,4.741,162.92,No
85,2025-01-08 00:00:00,M01,72.1,4.207,1099.32,1042.32,0.004215,119.66,136.22,15.87,152.09,55.0,573.28,11.36,561.92,51.12,700.71,91.09,2754.35,4.902,221.67,No
86,2025-01-08 02:00:00,M01,73.01,4.619,925.17,908.66,0.004416,170.66,194.44,12.41,206.85,55.0,499.77,8.97,490.8,53.05,986.92,128.3,2520.59,5.136,142.36,No
87,2025-01-08 04:00:00,M04,80.51,3.682,997.4,979.67,0.005527,110.73,126.11,13.16,139.27,55.0,538.82,13.86,524.96,52.63,728.41,94.69,2428.18,4.625,226.16,No
88,2025-01-08 06:00:00,M03,63.85,4.701,961.37,933.6,0.003184,171.44,180.39,23.97,204.36,55.0,513.48,6.64,506.84,52.72,879.14,114.29,2460.02,4.854,148.81,No
89,2025-01-08 08:00:00,M01,66.99,4.159,1067.62,1032.28,0.003506,188.48,205.47,14.22,219.69,55.0,567.76,10.43,557.32,52.2,1002.23,130.29,2707.56,4.858,152.21,No
90,2025-01-08 10:00:00,M03,87.42,3.781,956.83,935.88,0.006965,78.06,96.5,9.48,105.98,55.0,514.73,18.81,495.93,51.83,558.44,72.6,2380.99,4.801,280.77,No
91,2025-01-08 12:00:00,M01,70.5,3.99,1068.26,1050.77,0.003953,149.66,166.69,6.99,173.68,55.0,577.92,11.36,566.56,53.04,844.3,109.76,2765.4,4.881,195.73,No
92,2025-01-08 14:00:00,M04,61.6,4.987,1053.5,1038.91,0.002957,177.22,198.66,41.98,240.64,55.0,571.4,14.55,556.84,52.86,869.41,113.02,2767.67,4.97,138.84,No
93,2025-01-08 16:00:00,M03,68.8,3.575,966.23,925.24,0.003665,154.34,173.94,5.13,179.06,55.0,508.88,9.79,499.09,51.65,844.9,109.84,2516.42,5.042,167.23,No
94,2025-01-08 18:00:00,M02,58.0,3.871,1164.67,1122.7,0.002482,220.1,235.7,12.66,248.37,55.0,617.48,15.16,602.33,51.72,1009.54,131.24,2895.6,4.807,145.51,No
95,2025-01-08 20:00:00,M02,73.33,4.629,932.93,931.58,0.004466,114.23,135.02,20.99,156.01,55.0,512.37,13.24,499.13,53.5,685.2,89.08,2451.51,4.912,191.96,No
96,2025-01-08 22:00:00,M04,76.45,4.297,873.19,858.1,0.004921,118.95,138.81,28.04,166.84,55.0,471.96,9.69,462.27,52.94,739.79,96.17,2341.44,5.065,166.24,No
97,2025-01-09 00:00:00,M02,66.99,3.844,1077.05,1060.86,0.003467,149.64,169.37,17.44,186.81,55.0,583.47,10.51,572.96,53.2,807.85,105.02,2733.13,4.77,184.02,No
98,2025-01-09 02:00:00,M01,69.41,4.634,806.55,781.55,0.003889,156.99,174.35,12.76,187.1,55.0,429.85,8.74,421.11,52.21,862.91,112.18,2091.61,4.967,135.04,No
99,2025-01-09 04:00:00,M01,77.08,4.656,1134.26,1117.19,0.005091,106.86,126.0,12.12,138.12,55.0,614.45,13.94,600.52,52.94,663.25,86.22,2912.45,4.85,260.87,No
100,2025-01-09 06:00:00,M05,62.37,4.349,1009.16,989.47,0.002978,146.74,165.18,10.41,175.59,55.0,544.21,10.57,533.64,52.88,751.63,97.71,2694.67,5.05,182.35,No
101,2025-01-09 08:00:00,M05,64.73,3.924,871.57,852.03,0.003201,191.77,208.56,4.5,213.07,55.0,468.62,6.65,461.97,53.0,978.09,127.15,2350.15,5.087,130.09,No
102,2025-01-09 10:00:00,M04,70.75,3.994,914.64,884.87,0.003989,154.24,174.16,25.56,199.72,55.0,486.68,12.12,474.56,51.89,873.57,113.56,2355.41,4.963,142.57,No
103,2025-01-09 12:00:00,M02,67.86,4.328,852.93,831.25,0.00364,202.59,222.82,8.97,231.79,55.0,457.19,9.44,447.74,52.49,1081.32,140.57,2240.25,5.003,115.9,No
104,2025-01-09 14:00:00,M05,70.38,3.61,1034.46,1043.42,0.003884,146.32,166.54,3.69,170.24,55.0,573.88,14.62,559.26,54.06,833.58,108.37,2705.33,4.837,197.11,No
105,2025-01-09 16:00:00,M04,65.05,4.798,880.58,863.68,0.003339,173.96,194.43,5.9,200.33,55.0,475.02,7.47,467.56,53.1,904.16,117.54,2217.54,4.743,140.04,No
106,2025-01-09 18:00:00,M04,73.18,4.965,1045.19,1039.41,0.004495,134.19,143.2,17.62,160.82,55.0,571.68,12.61,559.07,53.49,789.14,102.59,2550.3,4.562,208.59,No
107,2025-01-09 20:00:00,M03,71.18,4.094,972.57,955.69,0.004065,158.46,180.07,17.71,197.78,55.0,525.63,11.49,514.14,52.86,906.18,117.8,2557.24,4.974,155.97,No
108,2025-01-09 22:00:00,M02,75.02,4.36,957.22,939.27,0.004694,136.21,150.36,15.77,166.12,55.0,516.6,9.81,506.79,52.94,813.05,105.7,2590.71,5.112,183.04,No
109,2025-01-10 00:00:00,M01,73.1,4.734,1045.84,1022.17,0.004447,132.91,155.39,10.71,166.1,55.0,562.19,8.71,553.48,52.92,784.18,101.94,2760.34,4.987,199.94,No
110,2025-01-10 02:00:00,M05,73.14,5.08,1056.12,1057.33,0.004506,125.28,137.84,12.07,149.91,55.0,581.53,12.94,568.59,53.84,723.05,94.0,2708.73,4.764,227.57,No
111,2025-01-10 04:00:00,M03,64.05,4.901,1103.12,1091.51,0.003229,195.31,219.64,5.28,224.92,55.0,600.33,10.52,589.82,53.47,996.4,129.53,2677.83,4.54,157.34,No
112,2025-01-10 06:00:00,M01,74.71,3.419,942.96,919.88,0.004491,124.99,134.25,24.26,158.52,55.0,505.93,10.64,495.3,52.53,754.77,98.12,2242.14,4.527,187.47,No
113,2025-01-10 08:00:00,M02,70.18,4.058,997.32,977.64,0.003918,119.84,139.13,5.53,144.66,55.0,537.7,10.12,527.58,52.9,683.91,88.91,2516.76,4.77,218.81,No
114,2025-01-10 10:00:00,M03,71.08,4.425,942.82,940.85,0.004098,110.66,127.2,13.94,141.14,55.0,517.47,7.99,509.48,54.04,654.22,85.05,2531.02,4.968,216.58,No
115,2025-01-10 12:00:00,M01,77.77,3.978,1014.67,964.89,0.00509,107.05,126.9,23.08,149.98,55.0,530.69,10.1,520.59,51.31,676.83,87.99,2499.75,4.802,208.26,No
116,2025-01-10 14:00:00,M05,68.04,5.002,929.95,919.47,0.00375,153.63,178.54,15.2,193.74,55.0,505.71,9.81,495.9,53.32,834.85,108.53,2494.17,5.03,153.58,No
117,2025-01-10 16:00:00,M04,79.43,4.933,961.83,953.61,0.005567,135.41,154.36,23.27,177.63,55.0,524.48,12.82,511.67,53.2,853.92,111.01,2523.06,4.931,172.83,No
118,2025-01-10 18:00:00,M04,79.94,3.833,962.29,939.2,0.005452,102.34,124.1,7.98,132.07,55.0,516.56,12.58,503.98,52.37,668.64,86.92,2402.02,4.766,228.96,No
119,2025-01-10 20:00:00,M03,76.14,4.127,1026.4,1012.91,0.004839,117.89,142.03,13.59,155.63,55.0,557.1,11.65,545.45,53.14,729.36,94.82,2578.21,4.727,210.29,No
120,2025-01-10 22:00:00,M04,66.61,3.863,1000.27,991.29,0.003421,156.79,172.31,27.6,199.92,55.0,545.21,13.52,531.69,53.15,847.2,110.14,2465.95,4.638,159.57,No
121,2025-01-11 00:00:00,M03,59.98,4.112,1045.57,1014.44,0.002699,227.44,246.89,18.5,265.39,55.0,557.94,11.63,546.31,52.25,1080.3,140.44,2808.76,5.141,123.51,No
122,2025-01-11 02:00:00,M04,77.93,4.099,990.37,985.52,0.005141,114.42,137.89,27.83,165.72,55.0,542.04,15.9,526.14,53.13,729.96,94.89,2493.47,4.739,190.49,No
123,2025-01-11 04:00:00,M01,72.61,4.629,947.82,936.99,0.004356,119.09,138.5,9.39,147.89,55.0,515.34,10.66,504.68,53.25,707.12,91.93,2489.73,4.933,204.76,No
124,2025-01-11 06:00:00,M02,67.9,3.8,1017.22,1000.09,0.003578,137.1,152.76,29.0,181.76,55.0,550.05,8.88,541.17,53.2,759.97,98.8,2588.76,4.784,178.64,No
125,2025-01-11 08:00:00,M01,78.45,3.022,917.45,904.85,0.005035,106.57,126.63,13.24,139.88,55.0,497.67,9.38,488.28,53.22,681.41,88.58,2324.38,4.76,209.45,No
126,2025-01-11 10:00:00,M03,67.26,3.478,1051.22,1044.38,0.003456,145.62,164.08,8.08,172.15,55.0,574.41,18.23,556.17,52.91,794.32,103.26,2521.34,4.533,193.84,No
127,2025-01-11 12:00:00,M02,69.67,3.737,974.31,986.77,0.003804,144.47,164.51,39.07,203.59,55.0,542.73,9.4,533.32,54.74,820.27,106.64,2556.02,4.793,157.18,No
128,2025-01-11 14:00:00,M01,74.89,3.905,1018.41,1010.58,0.004598,125.64,141.52,1.6,143.12,55.0,555.82,11.17,544.65,53.48,767.08,99.72,2631.45,4.831,228.33,No
129,2025-01-11 16:00:00,M01,65.88,4.284,1019.8,1014.42,0.003381,156.49,175.46,12.47,187.93,55.0,557.93,15.92,542.01,53.15,845.55,109.92,2743.78,5.062,173.05,No
130,2025-01-11 18:00:00,M03,71.4,3.714,1144.14,1129.63,0.004042,167.49,184.94,6.06,190.99,55.0,621.3,8.59,612.71,53.55,946.56,123.05,2845.06,4.643,192.48,No
131,2025-01-11 20:00:00,M01,77.99,3.655,1034.34,1042.43,0.00507,129.11,145.13,20.47,165.6,55.0,573.34,15.37,557.97,53.94,817.03,106.21,2676.49,4.797,202.16,No
132,2025-01-11 22:00:00,M05,73.16,3.782,1006.59,973.78,0.004311,127.5,150.74,6.56,157.31,55.0,535.58,13.46,522.12,51.87,754.37,98.07,2607.24,4.994,199.15,No
133,2025-01-12 00:00:00,M03,78.86,3.698,937.69,904.07,0.005231,94.46,110.41,2.26,112.68,55.0,497.24,9.33,487.91,52.03,613.38,79.74,2269.29,4.651,259.81,No
134,2025-01-12 02:00:00,M02,78.23,3.95,1072.21,1058.1,0.005167,109.31,124.28,9.73,134.02,55.0,581.96,7.06,574.9,53.62,703.11,91.4,2635.35,4.584,257.38,No
135,2025-01-12 04:00:00,M03,72.04,3.931,975.68,968.78,0.004167,133.65,146.91,8.32,155.22,55.0,532.83,11.46,521.36,53.44,778.82,101.25,2411.0,4.624,201.53,No
136,2025-01-12 06:00:00,M01,59.15,4.51,862.71,823.11,0.002652,212.03,229.77,7.36,237.13,55.0,452.71,8.43,444.29,51.5,986.31,128.22,2247.9,5.06,112.42,No
137,2025-01-12 08:00:00,M05,65.92,3.755,982.44,967.66,0.003324,161.53,178.93,48.46,227.38,55.0,532.22,9.47,522.75,53.21,849.25,110.4,2511.06,4.804,137.94,Yes
138,2025-01-12 10:00:00,M03,76.2,4.039,1017.23,999.77,0.004834,100.88,121.77,9.56,131.33,55.0,549.87,12.05,537.82,52.87,636.26,82.71,2507.82,4.663,245.7,No
