Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout,BMI_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_HRR,pct_maxHR,cal_balance,lean_mass_kg,expected_burn,Burns Calories (per 30 min)_bc,Burns_Calories_Bin
50.51,Male,86.37,1.63,160.92,143.2,57.87,1.69,1974.26,Strength,29.07152849804965,3.49,4.01,2.98,32.51,3.0,0.02,258.98,102.72,68.72,2476.0,Other,Breakfast,Keto,10.0,1356.53,170.61,270.38,Baked,41.73,119.53,2.54,Plank,4.99,17.03,Targets obliques and improves core rotation,356.2,"Lower Chest, Triceps",Wall,Intermediate,Abs,Triceps,Bicep Curls,32.507809853588775,2065.28,0.5015881623799194,1.189301840916985,0.8280446385249879,0.8898831717623664,501.74,61.260920836234526,1203.956,9.983135243183448e+19,High
47.77,Female,83.89,1.82,176.36,148.74,69.91,1.91,2733.4,HIIT,23.64931819941694,3.51,5.02,3.01,25.33,3.01,0.01,231.16,93.27,61.23,2232.0,Other,Snack,Keto,11.88,323.04,135.18,393.39,Grilled,11.26,26.52,4.07,Pull-ups,4.0,20.97,Strengthens lower body,361.13,"Chest, Triceps",Dumbbells,Advanced,Shoulders,Quads,Face pulls,25.32604757879483,1848.79,0.5001325191070917,1.1118130885683633,0.7405354626585251,0.8433885234747108,-501.4000000000001,64.05058696250913,1379.5166,1.1169467953176178e+20,Very High
19.0,Male,82.66,1.96,173.75,168.71,62.16,1.89,2700.62,HIIT,24.128786918912287,3.5,5.02,2.99,21.52,3.01,0.01,181.82,71.6,48.11,2569.0,Other,Dinner,Vegan,30.3,80.98,210.51,239.19,Baked,10.14,116.47,2.91,Lunges,3.99,23.95,Isolates triceps,357.96,"Core, Shoulders, Hips",Bench or Sturdy Surface,Advanced,Abs,Lower Chest,Seated calf raises,21.5170762182424,1446.67,0.5027269522420454,0.8661988870070166,0.954834662604176,0.9709928057553956,-131.6199999999999,62.7151447328271,1353.0887999999998,1.0393288237651286e+20,High
38.01,Female,57.67,1.56,184.91,132.43,54.04,1.64,2345.2,HIIT,26.59443119940612,2.71,5.0,3.0,23.7,3.98,2.99,369.71,147.77,98.38,1726.0,Other,Breakfast,Low-Carb,35.84,131.07,244.36,471.47,Grilled,37.25,74.43,3.91,Turkish Get-ups,4.99,14.93,Builds unilateral leg strength and balance,338.54,"Lower Chest, Triceps",None or Dumbbells,Advanced,Shoulders,Triceps,Fat grip dumbbell curl,23.6974030243261,2955.34,0.5003958935350924,2.5623374371423617,0.5989913654771912,0.7161862527716186,-619.1999999999998,42.33299152730249,1110.4112,6.589947605531748e+19,Medium
27.39,Female,71.79,1.97,180.96,151.11,72.68,0.75,743.85,Strength,24.477762525783994,3.59,3.01,1.02,18.5,3.01,0.02,207.16,82.59,55.08,2046.0,Other,Lunch,Low-Carb,16.18,674.45,127.06,306.18,Roasted,47.37,119.27,4.24,Plyo Squats,4.0,15.13,Improves core stability,356.83,"Shoulders, Triceps",Barbell,Advanced,Chest,Middle,Hammer curls,18.498286479940223,1654.72,0.5007735447689035,1.1504387797743418,0.7243258219431105,0.8350464190981433,1302.15,54.21741428273968,535.245,1.0128287826913867e+20,High
18.86,Female,95.12,1.85,189.48,142.51,49.9,1.2,1293.84,Strength,28.04992817494376,2.3,4.0,1.98,27.79,2.0,0.96,298.25,118.86,79.54,2455.0,Other,Snack,Paleo,25.56,835.15,299.07,300.06,Raw,60.3,15.35,2.65,Squats,4.99,17.87,Improves core stability and balance,359.74,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Advanced,Legs,Lower,Plate pinch,27.792549306062817,2384.3,0.5003564987627396,1.2495794785534062,0.6634904714142427,0.7521110407430863,1161.16,68.4389083199935,863.376,1.0823075997537375e+20,High
40.36,Male,56.88,1.71,168.02,142.67,60.89,1.87,2189.58,Strength,21.80926489283508,2.69,5.02,3.01,19.45,1.98,0.01,192.66,76.8,51.19,1740.0,Other,Breakfast,Paleo,43.14,58.47,291.5,352.42,Raw,54.98,40.14,2.88,Frog Jumps,5.0,20.9,Strengthens back and improves posture,342.47,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Forearms,Triceps,Donkey kicks,19.45213911972915,1538.55,0.5008871989860583,1.350210970464135,0.7633716045925509,0.8491251041542672,-449.5799999999999,44.47489012895541,1280.8378000000002,7.2414058960355475e+19,Medium
37.14,Male,76.48,1.77,180.29,127.8,56.76,1.36,1305.6,Cardio,30.300737914959768,2.09,4.0,2.0,24.41,2.99,-0.02,233.62,92.99,62.41,2166.0,Other,Breakfast,Low-Carb,27.8,434.36,271.65,370.94,Steamed,39.18,37.58,4.9,Step-ups,5.0,16.98,Improves balance and leg strength,356.98,"Quadriceps, Hamstrings, Glutes",Bench or Step,Beginner,Chest,Anterior,Decline dumbbell press,24.411886750295253,1868.13,0.5002221472809708,1.215873430962343,0.5750829757953533,0.7088579510788174,860.4000000000001,53.30599564263877,970.9856,1.0163119823163551e+20,High
18.93,Male,72.56,1.79,177.48,124.41,60.95,0.81,803.36,Strength,26.40511440359576,1.58,2.99,1.02,22.65,2.99,0.02,219.75,87.27,58.09,1802.0,Other,Lunch,Vegetarian,5.03,1193.73,252.47,366.68,Baked,12.55,43.72,1.1,Lunges,4.0,25.07,Improves posture and strengthens upper back,332.12,"Chest, Triceps",Low Bar or TRX,Beginner,Legs,Wrist Flexors,Barbell curls,22.645984831934086,1750.89,0.5020303959700495,1.202728776185226,0.5445807946451557,0.7009803921568628,998.64,53.40044898875092,538.0344,5.635999896524944e+19,Low
46.0,Male,60.05,1.68,164.91,147.1,62.34,1.17,1544.4,HIIT,21.804029360668224,2.51,4.01,2.0,21.28,1.99,0.01,247.96,99.4,66.24,1716.0,Other,Lunch,Vegetarian,16.21,1318.33,53.39,122.1,Fried,28.89,35.79,1.07,Deadlifts,4.0,23.01,Isolates and strengthens triceps,350.23,"Core, Shoulders, Legs",Wall,Intermediate,Chest,Lower,Military press,21.27621882086168,1985.6,0.4995165189363417,1.6552872606161533,0.826362484157161,0.892001697895822,171.5999999999999,46.95668036891873,819.5382,8.695710965929193e+19,High
37.06,Female,73.04,1.74,188.15,140.95,65.11,1.04,1123.2,Strength,25.78541781279678,2.39,3.0,2.0,24.12,3.02,1.0,300.3,120.63,80.22,2038.0,Other,Snack,Vegan,1.96,2075.74,21.79,229.67,Boiled,43.88,57.5,3.84,Decline Push-ups,4.98,22.86,Targets upper chest,333.67,"Shoulders, Upper Back",Cable Machine or Resistance Band,Beginner,Abs,Anterior,Dumbbell front raises,24.124719249570617,2405.7,0.4993141289437586,1.6515607886089811,0.6163849154746422,0.7491363273983523,914.8,54.20633082953324,694.0336000000001,5.854449039146325e+19,Low
50.23,Female,86.72,1.63,160.86,143.17,58.08,1.7,1326.0,Yoga,29.12385208982389,3.51,4.0,3.0,32.64,3.0,-0.01,256.65,103.91,68.88,2212.0,Other,Breakfast,Balanced,10.7,1357.2,172.78,270.05,Raw,42.0,120.0,2.47,Prone Cobras,5.0,17.09,Strengthens back and legs,356.6,"Upper Chest, Triceps",Bench or Chair,Advanced,Chest,Posterior,Russian twists,32.63954232376078,2062.16,0.4978275206579509,1.198224169741697,0.8278848024907567,0.8900285962949147,886.0,61.46379546770473,1212.44,1.007508231431857e+20,High
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio,29.31860660365026,1.82,3.98,1.95,26.25,2.0,1.01,222.21,89.25,58.85,2182.0,Other,Breakfast,Paleo,15.41,278.9,228.23,407.72,Raw,59.79,72.64,1.76,Glute Bridges,4.0,24.02,Improves shoulder mobility and posture,353.43,"Chest, Triceps, Shoulders",Step or Box,Advanced,Forearms,Grip Strength,Hyperextensions,26.254232071406587,1775.4900000000002,0.5006167311559062,1.1625635013677218,0.6182608695652173,0.722561617863914,967.88,54.26210571037769,897.7122,9.366364978850316e+19,High
24.03,Female,88.29,1.79,177.55,153.6,65.23,1.76,1831.81,Cardio,26.7693540494346,3.48,4.01,3.01,27.56,2.99,-0.01,174.44,69.19,46.48,2410.0,Other,Lunch,Keto,0.81,299.22,187.88,124.74,Boiled,45.62,15.41,2.76,Lat Pulldowns,3.99,23.85,Builds chest strength,350.66,"Core, Shoulders, Hips","Bench, Barbell",Intermediate,Back,Grip Strength,Leg raises,27.555319746574703,1392.84,0.5009620631228282,0.783667459508438,0.7867699430199429,0.8651084201633342,578.19,64.65533730975419,1234.3232,8.783303595702269e+19,High
50.53,Male,57.01,1.91,184.12,131.58,68.07,1.09,1177.2,Strength,22.39259644326159,2.72,3.99,2.0,15.63,2.01,-0.0,177.97,71.05,47.3,1510.0,Other,Lunch,Keto,7.67,1250.31,138.48,220.52,Steamed,46.48,16.29,1.82,Prone Cobras,4.01,14.99,Strengthens lower body,360.04,Triceps,Kettlebell,Beginner,Forearms,Wrist Flexors,Barbell rows,15.627312847783775,1421.78,0.5006963102589711,1.2462725837572357,0.5472641102972857,0.7146426243754074,332.79999999999995,44.24398076769656,784.8872000000001,1.0897027971169038e+20,High
54.03,Female,87.22,1.76,188.72,157.91,68.0,1.48,1067.38,Yoga,28.418499463942585,3.39,3.0,2.02,28.16,3.0,-0.0,296.87,118.4,79.38,2269.0,Other,Lunch,Keto,15.56,2425.23,235.02,353.93,Fried,25.41,66.78,2.67,Bear Crawls,5.0,16.88,Builds upper body strength,338.3,"Chest, Triceps",Cable Machine,Advanced,Chest,Middle,Skull crushers,28.15728305785124,2375.5,0.4998863397179541,1.3574868149506996,0.7447813121272365,0.8367422636710471,1201.62,62.43338476754927,1001.368,6.5518873463922115e+19,Medium
25.11,Female,105.44,1.88,174.12,155.79,67.11,1.33,1277.86,Cardio,30.892571504733954,2.28,2.99,2.01,29.83,4.02,0.02,198.29,79.79,52.85,3016.0,Other,Lunch,Balanced,43.02,2092.8,254.4,466.3,Raw,50.18,36.63,3.97,Mountain Climbers,3.98,15.03,Builds explosive power,355.39,"Obliques, Core",Pull-up Bar,Beginner,Shoulders,Lower,Plate pinch,29.83250339520145,1587.97,0.499480468774599,0.7567336874051594,0.8287075974208017,0.8947277739490006,1738.14,72.86687260540852,945.3374,9.799195949776652e+19,High
39.05,Male,102.34,1.94,192.28,133.68,50.01,0.9,792.0,Cardio,32.46285886287696,2.41,3.01,1.0,27.19,3.02,-0.03,282.28,111.71,74.89,2624.0,Other,Lunch,Vegan,9.88,434.89,2.84,459.96,Baked,30.6,105.57,1.9,Russian Twists,5.02,22.0,Builds shoulder width,368.66,Core,Resistance Band,Beginner,Forearms,Posterior,Bicycle crunches,27.192050164735893,2249.97,0.5018378022818082,1.0915575532538595,0.5881071202642862,0.6952361140004161,1832.0,69.11751023973171,663.5880000000001,1.3220545409736291e+20,Very High
44.1,Female,89.6,1.99,192.1,135.01,58.1,1.4,1848.0,HIIT,23.09052321392091,2.02,4.0,2.0,22.63,2.99,1.04,321.28,128.81,85.61,2601.0,Other,Dinner,Paleo,7.3,2434.23,249.77,96.89,Raw,59.95,49.69,1.91,Shoulder Press,4.99,14.99,Strengthens back and legs,339.35,"Chest, Triceps",Wall,Advanced,Back,Lower,Close-grip bench press,22.62569127042246,2570.85,0.4998813621953828,1.4376116071428573,0.5739552238805969,0.7028110359187922,753.0,68.91089120032686,950.18,6.719837975483025e+19,Medium
18.06,Male,58.56,1.61,174.64,150.33,70.81,1.9,2226.42,Strength,24.496921662616764,2.72,3.99,3.02,22.59,2.99,0.03,231.25,92.48,61.37,1549.0,Other,Snack,Low-Carb,30.58,276.74,266.46,269.54,Baked,59.07,21.53,1.99,Tricep Dips,4.99,24.98,Improves core stability and balance,334.26,"Back, Biceps",None or Dumbbells,Advanced,Arms,Anterior,Decline cable crossovers,22.591720998418268,1847.25,0.5007443497090269,1.5792349726775956,0.7658672830588464,0.8607993586807148,-677.4200000000001,44.214602674371626,1270.188,5.9395332047804236e+19,Low
57.07,Female,76.9,1.86,173.05,140.94,55.07,1.15,827.31,Yoga,29.439410708808744,2.8,3.99,1.99,22.23,1.98,-0.0,207.11,82.81,55.52,1981.0,Other,Breakfast,Vegetarian,4.58,365.77,281.74,161.5,Fried,7.91,66.82,4.15,Kettlebell Swings,3.99,16.01,Advanced core exercise,353.89,"Shoulders, Upper Back",Bench or Sturdy Surface,Beginner,Legs,Lats,Russian twists,22.22800323736848,1659.36,0.4992527239417607,1.076853055916775,0.7278352263095439,0.8144466917075989,1153.69,54.26109316492608,813.9469999999999,9.46641082220783e+19,High
49.66,Male,52.57,1.84,195.03,124.28,51.7,1.38,1324.8,Cardio,14.84197561792194,3.1,4.0,2.0,15.53,3.0,-0.02,169.5,68.42,45.57,1497.0,Other,Snack,Paleo,41.73,2315.93,148.84,212.06,Baked,57.1,8.62,2.2,Resistance Band Pull-Aparts,5.01,16.02,Targets biceps and forearms,346.31,Full Body,Dumbbells,Beginner,Legs,Triceps,Hanging leg raises,15.527528355387522,1361.81,0.4978668096136759,1.3015027582271257,0.5063838693923115,0.6372352971337742,172.20000000000005,44.76757341765843,955.8156,7.931882085297493e+19,Medium
31.63,Male,126.53,1.83,197.68,146.15,61.92,1.1,790.68,Yoga,35.0,2.09,2.99,1.98,37.78,3.0,0.02,304.8,122.78,81.51,3255.0,Other,Breakfast,Keto,44.74,86.45,181.63,284.83,Baked,7.94,54.61,2.2,Leg Raises,5.0,18.06,Improves lower back strength,361.2,"Glutes, Hamstrings",Cable Machine or Resistance Band,Beginner,Abs,Lower Chest,Bird dog,37.7825554659739,2443.9100000000003,0.498872708078448,0.9703627598198056,0.6204331172657632,0.7393261837312829,2464.32,82.2445,794.64,1.1187166638907102e+20,Very High
41.8,Male,59.72,1.74,194.24,141.17,51.86,1.78,2545.4,HIIT,19.446703083030147,2.7,5.01,3.0,19.73,3.01,-0.03,202.57,80.05,53.22,1741.0,Other,Dinner,Paleo,35.39,2121.96,204.6,433.04,Roasted,8.84,22.7,1.19,Tricep Extensions,5.01,15.88,Strengthens core and improves mobility,364.95,"Quadriceps, Glutes",Barbell,Beginner,Shoulders,Quads,Dumbbell flyes,19.72519487382745,1609.46,0.5034483615622631,1.3404219691895511,0.6272650653181626,0.7267813014827017,-804.4000000000001,48.1064289188144,1299.222,1.2172057792938766e+20,Very High
37.51,Male,76.59,1.82,191.56,121.3,49.83,1.49,1072.8,Yoga,22.57558193854224,2.8,3.98,2.0,23.12,3.02,-0.02,188.66,76.42,50.28,1950.0,Other,Lunch,Balanced,2.81,2413.37,111.51,329.67,Roasted,39.77,61.64,2.4,Deadlifts,3.98,19.04,Improves back strength and posture,344.07,"Quadriceps, Calves, Glutes",Pull-up Bar,Beginner,Back,Grip Strength,Plate pinch,23.122207462866804,1512.84,0.4988234049866476,0.9977803890847368,0.5042686798842869,0.633221967007726,877.2,59.299361793270506,1025.3286,7.522408817832826e+19,Medium
39.98,Male,79.99,1.76,167.75,166.6,74.26,1.63,1902.7,Strength,28.830453231342894,3.5,5.01,2.97,25.82,3.01,0.01,235.62,94.49,62.77,2030.0,Other,Dinner,Keto,27.18,1259.35,186.37,484.4,Steamed,41.61,13.87,3.4,Dead Bugs,5.03,21.92,Builds lower body power,348.23,Triceps,Resistance Band,Beginner,Shoulders,Posterior,Leg raises,25.82321797520661,1885.37,0.4998912680269655,1.1812726590823852,0.9876992191678252,0.9931445603576752,127.29999999999995,56.92852046024881,1135.2298,8.298301959150962e+19,Medium
25.49,Female,127.55,1.73,167.12,159.98,62.04,1.33,1607.84,HIIT,35.0,2.91,3.02,1.0,42.62,2.99,-0.01,296.66,117.99,78.86,3313.0,Other,Snack,Low-Carb,4.0,2351.97,119.73,379.38,Boiled,46.93,29.37,2.48,Frog Jumps,2.99,10.07,Builds shoulder width,130.05,"Core, Shoulders, Hips",Wall,Beginner,Arms,Triceps,Bird dog,42.61752814995489,2368.34,0.5010429245800856,0.9250490003920032,0.932051770079939,0.9572762087123023,1705.16,82.9075,345.93300000000005,2.7039504324756024e+16,Low
58.24,Female,56.96,1.7,170.09,121.89,57.07,0.74,895.4,HIIT,23.5650452462822,2.7,1.99,1.0,19.71,3.0,-0.01,205.31,83.24,55.37,1390.0,Other,Dinner,Low-Carb,8.38,1490.43,270.33,284.74,Roasted,48.63,89.23,3.01,Scissors Kicks,4.99,16.02,Strengthens core and improves mobility,357.81,"Shoulders, Upper Back",None or Dumbbells,Advanced,Forearms,Lats,Standing calf raises,19.70934256055364,1652.53,0.4969592080022753,1.461376404494382,0.5735268094142628,0.7166206126168498,494.6,43.53735022771766,529.5588,1.0357764489369998e+20,High
48.18,Female,56.53,1.51,184.75,125.44,52.26,1.37,1311.91,Cardio,28.50765309226645,2.11,3.97,1.97,24.79,3.0,0.01,215.24,85.55,57.33,1489.0,Other,Breakfast,Paleo,35.32,1707.76,53.01,130.6,Roasted,18.25,96.05,1.99,Plyometric Push-ups,5.02,23.09,Improves unilateral leg strength and balance,330.57,Lower Abs,"Bench, Barbell",Intermediate,Legs,Wrist Flexors,Dumbbell rows,24.79277224683128,1719.13,0.5008114569578799,1.513355740314877,0.5523435730998566,0.6789715832205683,177.08999999999992,40.414623706941775,905.7618,5.424739642634425e+19,Low
27.19,Male,88.2,1.98,161.8,152.85,52.99,1.8,2577.96,HIIT,21.047071801739808,3.5,4.01,3.02,22.5,2.02,1.0,296.47,118.19,79.21,2531.0,Other,Dinner,Vegan,19.02,345.67,219.13,116.63,Boiled,31.19,13.76,4.42,Frog Jumps,4.0,23.96,Improves core stability and upper body strength,336.55,Lower Abs,Box or Platform,Advanced,Abs,Middle,Incline dumbbell press,22.497704315886136,2371.53,0.5000484919018524,1.340022675736961,0.9177465306497564,0.9446847960444992,-46.96000000000004,69.63648267086549,1211.5800000000002,6.28014935796977e+19,Low
40.14,Male,51.72,1.61,198.12,128.23,70.18,0.86,566.57,Yoga,23.71315012526436,3.32,1.99,1.0,19.95,1.99,-0.02,217.46,86.75,57.22,1325.0,Other,Snack,Keto,27.11,1959.49,37.92,145.4,Grilled,28.56,78.55,2.62,Push Ups,3.99,23.0,Strengthens back and improves posture,359.4,"Core, Obliques",Bench or Step,Intermediate,Back,Lower,Hammer curl,19.952933914586627,1731.8200000000002,0.5022692889561271,1.6773008507347256,0.4537283101453805,0.6472339995962042,758.43,39.45555875521328,618.168,1.0739796722632149e+20,High
41.1,Female,77.05,1.79,171.94,132.06,56.07,1.4,1849.54,HIIT,25.765634036189088,2.0,4.0,2.01,24.05,2.99,0.02,291.2,115.86,77.53,2334.0,Other,Snack,Paleo,22.78,790.39,88.06,392.68,Roasted,5.79,35.76,4.81,Leg Press,4.0,22.02,Builds calf muscles,331.76,"Legs, Shoulders, Core",Bench or Sturdy Surface,Advanced,Forearms,Wrist Flexors,Bent-over lateral raises,24.047314378452608,2326.01,0.5007717077742572,1.5036988968202467,0.6558211789073962,0.7680586251017797,484.46,57.19757897511631,928.928,5.586299631976124e+19,Low
52.36,Female,51.93,1.67,169.0,124.55,51.78,1.5,1818.3,HIIT,22.0592370284323,1.51,1.97,1.02,18.62,3.01,0.01,282.27,112.63,74.94,1353.0,Other,Dinner,Paleo,29.84,1419.55,134.3,177.23,Baked,51.42,67.35,1.53,Bench Press,4.98,18.0,Targets lower abs,350.88,Shoulders,"Bench, Barbell",Intermediate,Shoulders,Anterior,Leg extensions,18.620244540858405,2254.06,0.5009094700229807,2.1688811862122086,0.6207984985497356,0.73698224852071,-465.3,40.47463821113511,1052.64,8.828417234168848e+19,High
36.02,Female,109.87,1.77,191.11,156.06,73.76,1.19,786.11,Yoga,33.42563807603815,3.42,1.99,1.01,35.07,3.0,0.01,306.41,122.15,82.17,2728.0,Other,Snack,Vegetarian,46.88,2000.77,252.88,161.17,Raw,20.3,62.42,2.79,Inverted Rows,4.0,22.99,Strengthens shoulders,369.34,"Shoulders, Triceps",Resistance Band,Intermediate,Arms,Wrist Extensors,Face pulls,35.069743687956844,2453.7700000000004,0.4994926174824861,1.1117684536270138,0.7013208351086493,0.8165977709172727,1941.89,73.14525144585689,879.0292,1.3421086349236188e+20,Very High
33.07,Male,102.83,1.75,185.94,140.25,52.91,1.4,1003.8,Yoga,29.93347627236046,2.21,3.0,1.95,33.58,3.0,-0.01,288.65,115.2,76.75,2657.0,Other,Snack,Balanced,3.45,459.13,251.52,332.16,Roasted,36.93,92.96,3.1,Bench Press,4.03,21.02,Full body workout,363.78,"Lower Chest, Triceps",Cable Machine,Beginner,Chest,Lats,Dumbbell rows,33.57714285714286,2306.15,0.5006612752856493,1.12029563356997,0.6565436367736601,0.7542755727654082,1653.2,72.04940634913174,1018.5839999999998,1.1856911182406685e+20,Very High
